SeniorCitizen,tenure,MonthlyCharges,gender_Male,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,Contract_One year,Contract_Two year,Churn_Yes,TotalCharges
0,46,75,False,False,True,False,True,False,False,False,3450
0,19,90,False,False,True,False,False,False,False,True,1710
0,23,54,False,False,True,False,True,False,False,False,1242
1,15,55,False,False,True,False,True,False,False,True,825
0,48,20,True,False,True,False,False,False,True,False,960
0,25,96,True,True,True,True,True,False,False,True,2400
0,52,105,True,False,True,False,False,True,False,True,5460
0,12,82,True,False,True,False,False,False,True,True,984
0,48,25,False,False,True,False,False,False,True,False,1200
0,38,20,False,False,True,False,False,False,False,False,760
0,18,35,False,False,False,False,True,False,False,False,630
0,45,50,False,False,True,False,True,False,False,False,2250
0,12,90,True,False,True,True,False,False,True,False,1080
1,66,102,False,False,True,True,True,False,False,False,6732
0,72,20,False,False,True,True,True,False,True,False,1440
0,70,45,False,False,False,True,True,False,False,False,3150
0,27,90,False,False,True,True,False,True,False,False,2430
1,13,95,True,False,True,False,False,False,True,True,1235
0,65,90,False,True,True,False,True,False,False,False,5850
0,14,70,False,True,True,False,False,False,False,False,980
0,17,85,False,True,True,False,False,False,False,True,1445
0,31,21,False,False,True,True,True,True,False,False,651
0,24,24,True,True,True,False,False,True,False,False,576
0,3,20,False,False,True,True,True,False,True,False,60
0,17,77,True,False,True,False,False,False,False,True,1309
0,66,69,True,False,True,True,True,True,False,False,4554
0,45,53,True,False,True,False,False,True,False,False,2385
0,35,92,True,False,True,True,True,True,False,False,3220
0,40,40,True,True,False,False,False,False,True,False,1600
0,10,85,False,False,True,True,True,False,False,True,850
0,52,64,False,False,True,False,False,True,False,False,3328
0,13,19,False,False,True,False,True,False,False,False,247
1,43,90,False,False,True,True,True,False,False,False,3870
0,41,20,False,False,True,False,False,False,True,False,820
1,52,50,False,False,False,False,True,False,False,False,2600
0,71,93,False,False,True,False,False,False,True,False,6603
0,61,106,True,False,True,True,True,False,False,False,6466
0,26,44,False,False,False,False,False,False,True,False,1144
0,72,68,True,True,True,True,True,False,False,False,4896
0,42,78,False,False,True,True,True,True,False,False,3276
0,57,65,False,True,True,False,False,False,False,False,3705
0,9,20,True,True,True,True,True,False,False,False,180
0,9,71,False,False,True,False,False,False,False,True,639
0,33,45,True,False,True,False,False,False,False,False,1485
0,1,19,True,False,True,False,True,False,True,False,19
0,7,79,False,False,True,True,True,False,False,True,553
0,1,72,True,False,True,True,False,False,True,True,72
0,65,20,True,True,True,False,False,False,False,False,1300
0,10,86,True,False,True,False,False,True,False,True,860
0,70,95,True,False,True,True,True,False,False,False,6650
0,29,99,False,False,True,False,False,False,False,True,2871
0,21,104,True,True,True,False,False,False,True,True,2184
0,1,91,True,False,True,False,False,False,False,True,91
0,5,20,True,False,True,False,False,False,False,False,100
0,56,90,True,False,True,True,False,False,True,False,5040
0,35,85,True,True,True,False,True,False,False,True,2975
0,10,20,True,True,True,False,False,False,True,False,200
0,31,50,False,False,False,False,False,False,True,False,1550
1,37,86,True,False,True,False,True,False,False,True,3182
1,57,95,True,False,True,True,False,False,True,True,5415
0,34,26,False,True,True,True,False,False,False,False,884
0,3,99,False,False,True,True,True,False,True,True,297
0,4,83,False,False,True,True,True,True,False,False,332
0,54,20,False,False,True,True,False,False,True,False,1080
0,6,20,True,True,True,True,True,False,True,False,120
0,22,60,True,False,True,False,False,True,False,False,1320
0,23,97,True,False,True,False,False,False,False,False,2231
0,68,58,False,False,True,False,False,True,False,False,3944
0,48,20,False,True,True,False,False,False,False,False,960
0,34,21,True,True,True,False,False,False,False,False,714
0,41,80,False,False,True,True,True,False,False,False,3280
0,9,76,True,False,True,True,True,True,False,False,684
1,18,104,False,False,True,False,False,False,True,False,1872
0,35,96,True,False,True,False,False,False,False,False,3360
0,55,79,True,True,True,False,True,False,False,False,4345
0,54,108,True,False,True,True,True,False,False,False,5832
1,2,79,False,False,True,False,False,True,False,True,158
0,52,106,True,False,True,False,False,False,True,False,5512
0,72,70,True,False,True,True,False,False,True,False,5040
0,9,70,True,False,True,False,False,False,False,False,630
0,3,70,False,True,True,True,True,False,False,False,210
1,4,75,True,False,True,False,True,False,False,False,300
0,69,76,True,True,True,True,False,False,True,False,5244
0,67,36,False,True,False,False,False,True,False,False,2412
0,4,80,True,False,True,False,False,False,True,True,320
0,13,46,True,False,False,False,True,False,False,True,598
0,45,81,False,True,True,True,False,False,True,False,3645
0,68,101,True,False,True,False,False,False,False,False,6868
0,69,74,False,True,True,False,False,False,False,False,5106
0,70,58,False,False,False,False,True,True,False,False,4060
0,1,20,False,False,True,True,True,False,False,True,20
0,45,26,False,True,True,False,False,False,True,False,1170
0,37,20,False,True,True,False,True,True,False,False,740
0,10,40,False,True,False,False,False,True,False,False,400
0,1,89,False,True,True,True,False,False,False,False,89
0,29,69,True,True,True,True,True,False,False,False,2001
1,72,104,True,True,True,False,True,False,False,False,7488
0,2,76,False,False,True,True,True,False,False,True,152
0,24,54,True,False,True,False,False,True,False,False,1296
0,4,79,False,False,True,False,False,False,False,True,316
0,72,19,True,False,True,False,False,False,False,False,1368
0,11,79,False,False,True,True,True,False,False,False,869
0,44,20,False,True,True,False,False,True,False,False,880
0,62,20,True,True,True,False,True,False,False,False,1240
0,70,25,True,True,True,False,False,False,False,False,1750
1,1,25,False,False,False,False,False,False,False,True,25
0,4,106,False,False,True,False,False,False,False,True,424
1,2,86,False,False,True,False,False,True,False,True,172
0,41,56,False,False,True,True,False,False,False,False,2296
1,1,19,False,False,True,True,False,True,False,True,19
1,72,84,True,False,True,False,True,False,False,False,6048
0,63,109,False,False,True,False,False,False,True,False,6867
0,68,80,True,False,True,True,True,False,True,False,5440
1,59,100,False,False,True,False,False,False,True,False,5900
1,52,49,True,False,False,False,True,False,False,False,2548
1,26,106,True,True,True,True,False,False,True,True,2756
0,66,57,True,False,False,True,True,False,False,False,3762
1,56,96,False,False,True,True,True,False,True,False,5376
0,72,79,False,False,True,False,False,False,False,False,5688
1,2,70,True,False,True,False,True,True,False,False,140
0,68,117,True,False,True,False,True,False,False,False,7956
0,61,85,True,True,True,True,True,False,True,False,5185
0,1,20,True,False,True,False,True,False,False,False,20
0,2,20,True,False,True,False,True,False,False,False,40
0,2,20,False,False,True,False,True,True,False,True,40
1,68,85,True,True,True,False,False,False,True,False,5780
0,9,68,True,False,True,False,True,False,False,False,612
0,13,83,True,False,True,False,True,False,False,True,1079
0,22,20,False,False,True,False,True,True,False,False,440
0,66,25,True,True,True,False,False,False,False,False,1650
0,8,20,True,True,True,False,False,False,False,False,160
0,2,70,True,True,True,False,False,False,True,False,140
0,3,56,True,False,True,False,False,True,False,False,168
0,5,92,True,False,True,True,True,False,False,True,460
0,13,20,True,False,True,False,False,False,False,False,260
0,53,65,True,True,True,False,False,False,True,False,3445
0,3,20,True,False,True,False,False,False,True,False,60
0,46,95,True,False,True,True,False,False,True,False,4370
0,39,40,False,False,False,False,True,False,False,False,1560
0,30,108,False,True,True,False,True,False,False,False,3240
0,23,99,False,False,True,True,False,False,True,False,2277
0,40,20,True,True,True,False,False,True,False,False,800
0,45,63,False,False,True,False,False,False,False,False,2835
0,53,20,True,False,True,False,False,True,False,False,1060
1,72,112,False,False,True,False,False,True,False,False,8064
0,28,20,True,True,True,False,False,True,False,False,560
0,49,67,False,False,True,False,False,False,False,False,3283
0,1,75,True,False,True,True,True,False,False,True,75
0,20,81,False,False,True,True,False,False,True,False,1620
0,53,61,False,True,True,True,True,False,True,False,3233
0,67,69,True,False,True,False,True,False,False,False,4623
0,11,74,True,False,True,False,True,False,False,True,814
0,52,86,False,True,True,False,False,False,True,False,4472
0,1,91,False,False,True,True,False,False,False,True,91
0,48,56,False,False,True,True,False,False,False,False,2688
0,7,75,False,False,True,False,False,False,True,True,525
0,7,71,True,True,True,True,True,False,False,False,497
0,12,84,False,True,True,False,True,False,False,False,1008
0,40,25,True,False,True,False,False,False,True,False,1000
0,55,78,True,False,True,True,False,False,True,False,4290
0,20,20,False,False,True,True,True,False,True,False,400
0,1,36,True,False,False,False,False,True,False,True,36
0,72,84,False,True,True,False,True,False,False,False,6048
0,63,110,True,False,True,False,False,False,False,False,6930
0,70,65,False,False,False,False,True,False,False,False,4550
0,8,64,False,False,True,True,False,True,False,False,512
0,1,46,False,False,True,False,True,False,False,True,46
0,16,20,True,False,True,False,False,False,False,False,320
0,11,25,False,True,False,True,True,True,False,False,275
0,11,75,True,False,True,False,True,True,False,True,825
0,41,88,False,True,True,False,True,False,False,False,3608
0,14,76,True,True,True,False,False,False,False,False,1064
0,61,89,False,False,True,True,False,True,False,False,5429
0,20,89,False,False,True,False,False,False,False,False,1780
0,47,106,False,False,True,False,False,False,True,True,4982
0,2,60,True,True,True,True,True,False,True,False,120
0,41,60,True,True,True,True,True,True,False,False,2460
0,72,25,False,False,True,False,False,False,False,False,1800
0,72,80,False,True,True,False,False,False,False,False,5760
0,46,96,False,False,True,False,False,False,False,False,4416
0,1,20,True,False,True,True,True,False,False,True,20
0,29,45,True,True,False,True,True,False,False,False,1305
0,37,100,False,False,True,False,False,False,True,False,3700
0,19,62,True,False,True,True,True,True,False,False,1178
0,49,78,False,True,True,True,False,False,True,False,3822
0,13,44,True,True,True,True,False,False,True,False,572
0,22,50,False,False,True,False,True,False,False,False,1100
1,53,97,False,False,True,False,False,False,True,False,5141
0,24,50,True,False,True,True,False,False,True,True,1200
0,37,20,False,False,True,False,True,False,False,False,740
0,6,55,True,True,True,False,False,False,True,True,330
0,7,80,False,False,True,False,False,False,False,True,560
0,12,20,False,True,True,True,True,False,False,True,240
0,71,25,False,False,True,False,True,False,False,False,1775
0,26,82,True,True,True,True,True,False,False,False,2132
0,6,46,False,False,True,True,True,False,False,False,276
0,32,88,True,False,True,False,False,False,False,False,2816
0,47,59,False,False,True,False,False,False,False,False,2773
0,31,21,False,True,True,False,False,False,False,False,651
0,52,84,False,True,True,False,False,False,False,False,4368
0,60,61,False,False,False,False,False,False,False,False,3660
0,48,66,False,False,True,True,False,False,False,False,3168
0,45,19,True,False,True,True,False,False,False,False,855
0,39,80,False,False,True,False,True,False,False,True,3120
1,1,86,False,False,True,True,True,True,False,True,86
0,1,70,True,False,True,False,False,False,False,True,70
0,6,79,False,False,True,False,True,False,False,True,474
0,9,76,True,False,True,False,True,False,False,False,684
0,72,114,True,True,True,False,False,False,False,False,8208
1,71,52,True,False,False,True,True,False,False,False,3692
0,71,20,True,True,True,False,False,True,False,False,1420
0,64,95,False,False,True,False,True,True,False,False,6080
0,28,20,False,True,True,False,True,False,False,False,560
0,70,115,False,True,True,False,False,False,False,False,8050
1,39,96,True,False,True,False,False,False,False,True,3744
0,16,20,False,True,True,False,True,False,True,False,320
1,66,111,True,False,True,True,True,False,False,True,7326
1,21,95,False,False,True,True,False,False,False,False,1995
0,44,85,False,False,True,False,True,False,False,True,3740
1,54,99,False,False,True,False,False,True,False,False,5346
0,4,57,True,False,True,True,True,False,False,False,228
1,60,110,False,False,True,False,True,False,False,False,6600
0,26,92,True,False,True,False,False,False,True,False,2392
0,24,79,False,True,True,True,True,False,False,False,1896
0,53,19,True,True,True,True,False,False,True,False,1007
0,46,19,False,True,True,True,True,False,False,False,874
0,56,89,False,True,True,False,False,False,True,False,4984
0,7,59,False,False,True,True,True,False,False,False,413
0,1,86,False,False,True,True,False,True,False,True,86
0,1,46,True,False,True,False,False,False,False,False,46
0,60,20,True,False,True,False,True,False,False,False,1200
0,61,21,True,False,True,True,True,False,True,False,1281
0,42,34,False,False,False,False,True,False,False,True,1428
0,27,20,True,False,True,False,True,False,False,False,540
0,9,85,False,True,True,True,True,True,False,True,765
0,72,20,False,False,True,False,False,False,True,False,1440
0,23,20,False,False,True,False,False,True,False,False,460
1,47,95,False,False,True,False,True,False,False,True,4465
1,54,19,False,False,True,True,True,False,False,False,1026
1,2,96,True,False,True,True,False,True,False,False,192
0,38,60,True,False,False,False,False,False,True,False,2280
1,47,100,False,False,True,False,False,False,False,False,4700
0,22,56,True,False,True,False,False,True,False,False,1232
0,2,91,True,False,True,False,False,False,True,False,182
0,72,79,False,True,True,True,True,False,False,False,5688
1,58,45,True,False,False,False,True,False,False,True,2610
0,69,79,True,True,True,False,True,False,False,False,5451
0,18,70,True,False,True,False,False,False,False,False,1260
0,55,20,False,True,True,True,True,False,False,False,1100
0,46,101,False,False,True,False,False,False,True,False,4646
0,5,19,True,False,True,False,False,True,False,False,95
0,4,34,False,False,False,True,True,True,False,True,136
1,5,90,True,False,True,True,True,False,False,True,450
0,65,61,False,True,True,True,True,False,False,False,3965
0,35,21,True,False,True,True,False,True,False,False,735
1,45,97,False,False,True,True,True,False,True,False,4365
0,2,20,False,False,True,True,False,False,True,False,40
0,22,80,False,True,True,False,True,False,False,False,1760
0,70,69,True,True,True,True,True,False,False,False,4830
0,30,66,False,True,True,False,False,False,False,False,1980
0,61,108,True,False,True,True,False,False,True,False,6588
0,29,20,False,False,True,True,False,False,False,False,580
0,61,106,True,False,True,False,False,True,False,True,6466
0,25,90,True,True,True,False,False,True,False,True,2250
0,71,113,True,False,True,True,True,False,False,False,8023
0,1,35,False,False,False,False,True,False,False,False,35
0,62,70,False,True,True,False,False,False,True,False,4340
0,64,74,True,False,True,False,False,False,False,False,4736
0,64,91,False,True,True,False,True,True,False,False,5824
1,29,84,True,False,True,True,False,False,True,False,2436
0,2,71,False,False,True,False,False,True,False,True,142
0,1,51,True,False,True,True,True,False,False,True,51
0,45,25,False,True,True,False,False,False,False,False,1125
0,66,114,True,False,True,False,True,False,False,False,7524
0,54,107,False,False,True,True,False,False,False,True,5778
0,70,80,False,True,True,True,True,False,True,False,5600
1,37,92,True,False,True,False,False,False,False,True,3404
1,3,80,True,False,True,True,True,True,False,True,240
0,23,55,True,True,True,False,False,False,False,False,1265
1,60,100,False,False,True,False,True,False,True,False,6000
0,35,33,False,False,False,False,False,True,False,False,1155
0,27,74,False,True,True,False,False,False,True,False,1998
0,24,52,False,True,False,False,True,False,False,False,1248
1,2,94,False,False,True,False,True,False,False,True,188
0,67,91,True,False,True,False,False,False,False,True,6097
0,2,48,True,False,True,False,False,False,False,True,96
0,1,20,False,False,True,True,True,True,False,True,20
0,1,79,False,True,True,True,True,False,True,True,79
0,14,54,False,False,True,False,False,True,False,False,756
1,38,95,True,False,True,True,True,False,False,False,3610
0,1,70,False,False,True,False,False,False,True,True,70
0,2,70,False,False,True,True,True,True,False,False,140
0,12,79,False,False,True,False,True,False,False,True,948
0,31,98,True,True,True,True,False,True,False,False,3038
0,35,72,True,True,True,False,False,False,False,False,2520
1,72,110,True,False,True,True,True,False,False,False,7920
0,8,94,False,True,True,True,False,False,True,True,752
0,10,98,True,False,True,True,True,True,False,True,980
1,5,69,False,False,True,False,True,True,False,True,345
0,63,84,True,True,True,False,False,False,False,False,5292
0,71,26,False,False,True,False,False,False,True,False,1846
1,46,104,False,False,True,True,True,False,False,False,4784
0,52,23,False,True,True,True,True,False,True,False,1196
0,1,46,True,False,True,False,False,False,False,True,46
0,1,80,True,False,True,True,True,False,False,True,80
0,72,113,False,False,True,False,False,True,False,False,8136
0,3,84,False,False,True,True,True,False,False,True,252
0,28,61,True,False,True,False,False,False,False,False,1708
0,39,51,False,True,True,True,True,False,False,False,1989
0,33,26,False,False,True,True,False,False,False,False,858
0,12,61,False,False,False,False,False,False,False,False,732
0,1,74,True,True,True,False,False,False,False,True,74
0,6,79,True,False,True,True,True,False,False,False,474
0,3,86,True,False,True,True,False,False,True,False,258
0,4,88,True,False,True,True,True,False,False,True,352
0,34,90,True,True,True,False,True,False,False,False,3060
1,15,96,False,False,True,False,False,True,False,True,1440
0,1,25,True,True,False,False,False,True,False,True,25
0,3,51,False,False,True,False,False,True,False,True,153
0,3,20,False,False,True,False,False,True,False,False,60
0,30,81,False,True,True,False,False,False,True,False,2430
0,5,54,False,False,True,False,False,False,True,True,270
1,68,20,True,False,True,True,True,True,False,False,1360
0,1,20,False,False,True,False,True,False,False,False,20
0,5,80,False,False,True,False,False,False,False,True,400
0,1,71,False,False,True,False,False,False,False,True,71
0,13,20,True,True,True,True,True,False,False,False,260
0,35,80,False,False,True,True,False,True,False,False,2800
0,4,70,True,True,True,True,True,False,False,False,280
0,9,25,True,False,False,True,True,False,False,False,225
1,45,86,False,False,True,False,True,False,False,False,3870
0,21,28,False,False,False,False,True,False,False,False,588
0,26,89,False,False,True,True,True,False,True,True,2314
0,1,85,False,False,True,True,False,False,True,True,85
1,2,89,False,False,True,False,True,False,False,True,178
0,11,70,False,False,True,False,True,False,False,False,770
0,59,109,False,False,True,True,False,False,False,False,6431
0,31,84,False,False,True,False,True,False,False,False,2604
0,54,25,False,True,True,True,True,True,False,False,1350
0,16,19,False,True,True,True,False,True,False,False,304
1,9,55,True,False,True,False,False,False,False,True,495
0,21,97,False,False,True,True,False,False,False,True,2037
0,1,21,True,False,True,True,True,True,False,False,21
0,23,54,False,False,True,True,True,False,False,False,1242
1,7,74,True,False,True,True,True,False,False,True,518
0,21,104,True,False,True,True,False,True,False,False,2184
0,65,108,False,False,True,False,False,False,False,False,7020
0,4,45,True,False,False,False,False,False,True,True,180
0,72,112,True,True,True,False,False,False,False,False,8064
1,68,42,True,False,False,False,False,False,False,False,2856
0,67,85,False,True,True,False,False,False,True,False,5695
0,1,79,True,False,True,False,False,False,False,True,79
0,69,96,False,False,True,False,False,True,False,False,6624
0,60,90,True,False,True,True,True,False,True,False,5400
0,3,88,True,False,True,True,True,False,False,True,264
0,63,59,True,True,False,False,False,False,False,False,3717
0,71,91,True,True,True,True,True,False,False,False,6461
0,35,86,False,False,True,True,True,False,False,True,3010
0,34,70,False,False,True,True,True,True,False,True,2380
0,53,70,True,True,True,True,False,False,False,False,3710
0,17,34,True,False,False,False,True,False,False,False,578
0,1,60,False,True,True,True,True,False,False,True,60
0,56,81,True,False,True,False,True,False,False,False,4536
0,7,50,True,True,True,True,False,False,True,True,350
0,67,111,True,False,True,False,True,False,False,False,7437
0,11,61,True,False,True,False,True,False,True,False,671
0,1,20,True,True,True,True,False,True,False,False,20
0,2,25,True,False,True,False,False,False,False,False,50
0,69,105,False,False,True,False,False,False,False,False,7245
0,1,80,True,False,True,False,True,False,False,True,80
0,21,90,False,False,True,True,False,False,True,False,1890
1,72,97,True,False,True,True,True,False,False,False,6984
1,2,84,False,False,True,False,True,True,False,False,168
0,57,21,True,False,True,False,False,False,True,False,1197
0,1,90,True,False,True,False,False,False,False,True,90
0,4,81,True,False,True,True,True,False,False,True,324
0,2,19,False,False,True,False,False,False,False,False,38
0,9,77,False,False,True,False,False,False,False,False,693
0,71,111,False,False,True,True,True,False,False,False,7881
0,13,19,False,True,True,True,True,False,False,False,247
0,50,45,True,True,True,True,True,False,True,False,2250
1,10,90,True,False,True,False,False,False,True,True,900
1,64,94,True,False,True,True,True,False,True,False,6016
0,1,70,False,True,True,True,True,True,False,True,70
0,2,25,True,False,False,False,False,False,True,False,50
0,30,110,False,False,True,False,False,False,False,False,3300
0,7,90,True,False,True,False,False,True,False,True,630
0,26,19,True,False,True,False,False,False,False,False,494
0,20,50,True,False,True,False,False,False,False,False,1000
0,72,26,False,False,True,False,False,False,False,False,1872
0,13,56,False,True,True,False,True,False,False,True,728
0,70,85,True,False,True,True,True,False,False,False,5950
0,3,30,True,False,False,False,False,False,False,False,90
0,2,76,True,False,True,False,False,False,False,True,152
1,72,116,False,False,True,False,True,False,False,False,8352
1,33,84,True,False,True,False,True,False,False,True,2772
1,15,74,True,False,True,False,False,False,True,True,1110
0,1,29,True,False,False,False,False,False,False,False,29
1,55,99,True,False,True,False,True,False,False,True,5445
0,5,64,True,True,True,True,True,True,False,False,320
0,3,80,True,False,True,False,True,False,False,True,240
0,65,90,False,False,True,True,True,False,True,False,5850
0,39,60,True,True,True,True,True,False,False,False,2340
0,70,25,True,False,True,True,False,False,True,False,1750
0,34,116,True,False,True,False,False,False,True,False,3944
0,30,50,True,False,True,True,True,False,False,False,1500
0,12,50,False,False,False,True,True,False,True,False,600
0,9,20,True,True,True,False,False,False,False,False,180
0,49,56,False,False,False,False,True,False,False,False,2744
0,7,44,False,False,True,True,False,True,False,False,308
1,38,83,False,False,True,False,False,False,False,False,3154
0,63,109,True,False,True,False,False,True,False,False,6867
1,1,72,True,False,True,False,False,False,False,True,72
0,30,90,True,False,True,False,False,False,True,False,2700
0,23,74,False,False,True,False,False,False,False,False,1702
0,57,70,False,False,True,True,True,False,False,False,3990
1,70,76,False,False,True,True,True,True,False,False,5320
0,71,107,True,True,True,True,True,False,True,False,7597
0,20,50,True,True,True,True,False,True,False,False,1000
0,72,25,False,True,True,False,True,False,False,False,1800
0,22,70,True,False,True,True,False,False,True,False,1540
0,15,26,True,False,True,True,True,False,False,False,390
0,9,49,False,False,False,True,True,False,False,True,441
0,38,105,False,False,True,False,True,False,False,True,3990
1,7,30,True,False,False,True,True,False,False,False,210
0,26,73,False,False,True,False,False,False,False,False,1898
0,56,60,False,False,True,False,True,True,False,False,3360
0,49,20,False,False,True,True,True,False,False,False,980
0,3,70,False,False,True,True,True,False,False,False,210
1,1,74,True,False,True,True,True,False,False,True,74
1,70,20,False,False,True,True,True,False,False,False,1400
0,23,56,False,False,True,True,True,False,False,False,1288
0,65,60,False,False,True,False,False,True,False,False,3900
1,69,108,True,False,True,False,True,False,False,True,7452
0,1,55,False,False,True,False,True,False,False,True,55
0,24,90,True,False,True,False,False,False,False,True,2160
0,25,95,False,False,True,True,True,True,False,False,2375
0,17,20,False,False,True,True,False,False,False,False,340
0,32,70,True,False,True,True,True,False,False,False,2240
0,68,20,True,True,True,True,True,False,False,False,1360
0,70,20,False,True,True,True,True,False,False,False,1400
0,54,105,True,True,True,False,True,True,False,False,5670
0,15,19,False,False,True,True,True,False,True,True,285
0,71,67,True,True,True,True,True,True,False,False,4757
0,70,20,True,False,True,False,False,False,True,False,1400
1,53,96,False,False,True,True,True,False,True,False,5088
0,2,80,False,False,True,False,False,False,True,False,160
1,59,79,False,False,True,False,False,False,True,False,4661
0,22,84,False,False,True,False,True,False,False,False,1848
0,22,76,False,True,True,True,True,True,False,False,1672
0,57,50,False,False,False,True,True,False,False,False,2850
0,1,71,False,False,True,True,True,False,False,True,71
0,10,102,False,True,True,True,True,False,False,True,1020
1,55,52,False,False,True,False,False,True,False,False,2860
0,43,24,False,True,True,False,True,True,False,False,1032
1,18,48,False,False,False,False,False,False,True,True,864
0,2,81,False,True,True,True,True,False,True,False,162
0,52,25,False,True,True,True,False,False,False,False,1300
0,60,61,True,False,True,False,False,False,False,False,3660
0,59,83,False,False,True,True,True,False,False,False,4897
0,69,104,False,False,True,False,False,False,False,False,7176
0,14,101,True,False,True,False,True,True,False,True,1414
0,43,60,False,True,False,False,True,False,False,False,2580
0,12,19,False,True,True,True,True,True,False,False,228
0,8,20,False,True,True,True,True,True,False,False,160
0,3,69,False,True,True,False,False,False,False,False,207
0,58,105,True,True,True,True,True,False,True,False,6090
0,13,63,False,True,True,True,True,False,True,False,819
0,23,20,True,False,True,False,False,False,True,False,460
0,17,79,False,False,True,True,False,False,True,False,1343
0,52,109,True,False,True,True,True,False,False,False,5668
0,32,79,True,False,True,True,False,True,False,True,2528
0,36,35,False,False,False,False,False,False,False,False,1260
1,67,25,True,False,True,False,False,True,False,False,1675
1,29,104,True,True,True,False,True,False,False,False,3016
0,65,111,False,False,True,False,False,False,False,False,7215
1,41,84,True,False,True,True,True,True,False,True,3444
0,60,66,True,True,True,True,False,False,False,False,3960
0,53,20,False,False,True,False,False,False,False,False,1060
0,68,25,False,False,True,True,True,False,True,False,1700
1,2,75,True,False,True,False,False,False,False,True,150
0,61,34,True,True,False,False,False,False,True,False,2074
